Temp	16-654-- V. stam	16-663-- V. myrs	17-1611-- V. fus	17-607-- V. fus	17-609-- V. fus	17-628-- V. fus	17-724-- Hybrid	18-667-- V. fus	18-668-- V. stam	18-671-- V. stam	20-706-- V. ell	21-5541-- V. arb	22-2000-- V. myrs	22-2001-- V. myrs	23-2500-- V. ell	98-403-- V. darr	Alapaha-- RB	Alaska (wild)-- V. mic	Arcadia-- SHB	Avanti-- SHB	BBP Draper-- NHB	BBP Duke-- NHB	Blomidon-- LB	Brunswick-- LB	Chickadee-- SHB	Colorado-- V. myrt	Crassifolium #1-- V. cras	Darrow Juliana Type-- V. darr	Draper-- NHB	Duke-- NHB	Elliott-- NHB	Emerald-- SHB	Erin's Bilberry-- V. myrt	Fundy-- LB	fus226-- V. fus	fus4-- V. fus	fus81-- V. fus	GE-2004-060-- V. myrt	Gritless Sparkleberry-- V. arb	Indigocrisp-- SHB	Jewel-- SHB	Kestrel-- SHB	Legacy-- NHB	Ling (Red Sunset)-- V. vit	Ling (Sana)-- V. vit	Ling (wild) W1-- V. vit	Macro Ben Lear-- V. mac	Macro Bud's Blues-- V. mac	Macro Howes-- V. mac	Macro Murphy's Green-- V. mac	Macro Pilgrim-- V. mac	Macro Potters Favorite-- V. mac	Macro Stevens-- V. mac	Ochlockonee-- RB	Oleno yellow-- V. ell	Oxy (wild) BB09-- V. oxy	Oxy (wild) GyPL08-- V. oxy	Oxy (wild) LolPlo-- V. oxy	Oxy (wild) P16-- V. oxy	Oxy (wild) pmw19-- V. oxy	Palmetto-- SHB	Pink Lemonade #2-- Hybrid	Rosa's Blush-- V. darr	Snowchaser-- SHB	Spark#17-- V. arb	Spark#30-- V. arb	Tenellum 21-1153A-- V. ten	Vernon-- RB
62.31165354	3.111019284	2.501259178	3.062361923	2.941130084	3.00142839	3.495233215	2.679730887	2.675742815	3.122452235	3.081693376	3.079282822	3.008518545	3.07897464	2.21177613	2.650080851	3.067927649	2.814090588	3.57177725	3.184817179	2.964451363	3.187115059	3.034844187	3.722575004	3.542940674	2.991910761	3.122650354	3.168841923	2.334872441	3.329305959	3.19133663	3.755504777	3.193740983	2.976288308	3.187806863	3.130557466	2.57227344	2.423921688	3.340458605	3.359540927	3.762970703	2.714132401	3.078982873	3.077069558	3.847160374	3.149346016	3.915161322	3.571341575	3.55460827	3.981852306	2.146517483	3.169945964	3.496266946	3.686209219	2.846972918	3.744108014	3.990627574	4.08254568	2.556487709	3.659919635	3.716574513	2.177394299	3.520627535	3.495924115	2.000541775	2.935422927	3.503399291	3.111622273	3.142655032
62.5888189	3.124719897	2.567313611	3.073303138	3.022086379	3.145121402	3.531591712	2.741121671	2.756176745	3.170336892	3.161277872	3.076495337	3.057315306	3.157725849	2.254153877	2.704088305	3.115338417	2.934567845	3.528627655	3.274961437	2.998670735	3.236476436	3.089554989	3.75448698	3.557447839	3.075605833	3.211819218	3.174772921	2.393996998	3.343536469	3.220140646	3.838402517	3.245229099	3.040728554	3.189463773	3.151381346	2.607845758	2.424833839	3.381251195	3.43520634	3.791401375	2.753083574	3.138022727	3.0536403	3.860145379	3.163580067	3.888056434	3.574626562	3.462137623	4.015733224	2.226011539	3.249674045	3.541971463	3.669899015	2.886815131	3.739431274	4.0112028	4.153255646	2.611591945	3.710616037	3.771784217	2.238798964	3.602714252	3.494752419	2.030058681	2.984502101	3.533764705	3.184644607	3.155276315
62.86598425	3.138007562	2.661319691	3.135908322	3.066456549	3.231254	3.563275987	2.83579867	2.849928791	3.20089699	3.311643745	3.159890127	3.135011181	3.255128524	2.365955432	2.737122762	3.160043755	3.013697074	3.487942818	3.332557025	3.012952756	3.36218633	3.177348093	3.819755265	3.59642456	3.113160271	3.301752572	3.232277154	2.478464293	3.337756804	3.265956499	3.929169663	3.247961362	3.118823156	3.309939863	3.226737215	2.681722661	2.522037713	3.423543196	3.499208846	3.839871919	2.821437938	3.198004689	3.152990878	3.956453198	3.246927066	3.851182934	3.672561274	3.427952031	4.031234651	2.3115866	3.357879833	3.561417633	3.655594655	2.914654628	3.699901412	4.014818777	4.193346445	2.663026726	3.748865138	3.839632215	2.29278378	3.637773033	3.511110121	2.098642265	3.049899457	3.550402776	3.274621872	3.267642499
63.14314961	3.140993946	2.748371409	3.21200976	3.087953254	3.21334428	3.568973163	2.896992832	2.925432883	3.198070551	3.429875485	3.22890949	3.196396275	3.325771536	2.476307285	2.709328309	3.191601851	3.026166671	3.492989261	3.35013789	3.009028656	3.502469516	3.230556998	3.887748508	3.629828006	3.125510929	3.33190808	3.259278516	2.54624213	3.337177431	3.28015803	3.983445046	3.180239729	3.171055152	3.459251728	3.295980836	2.782245645	2.662776797	3.467963596	3.539739276	3.895252872	2.884815346	3.214471942	3.296966108	4.071181485	3.336125803	3.864908925	3.825857388	3.468740965	4.039199391	2.360362143	3.420065792	3.536350866	3.6427973	2.932738067	3.672524449	3.977952598	4.210708928	2.737598528	3.771238322	3.876518688	2.350149621	3.648627807	3.545293506	2.207979277	3.092888595	3.520608279	3.322780448	3.394636811
63.42031496	3.178385863	2.790436403	3.26289834	3.100799731	3.138729421	3.586100745	2.937437562	3.018108434	3.181350617	3.436851978	3.216766482	3.196450813	3.353299776	2.530539114	2.658397753	3.19460559	3.00236362	3.527813772	3.348748275	3.030974279	3.589308368	3.259864176	3.906309063	3.653950608	3.156834925	3.314832771	3.242560664	2.604347164	3.353259439	3.272600538	3.940138073	3.152065621	3.189741281	3.515562373	3.339598203	2.864026154	2.740607911	3.480950192	3.56463885	3.917632243	2.909293397	3.228078684	3.372068684	4.117940872	3.37677412	3.912079975	3.930869002	3.543442173	4.017799797	2.339502649	3.401324225	3.509398232	3.641110255	2.945300472	3.695202327	3.944845918	4.222115586	2.784675699	3.76272796	3.869705276	2.334396729	3.655743466	3.599929776	2.273508363	3.100490379	3.463481937	3.339284302	3.464387981
63.69748031	3.238564193	2.774181576	3.267672686	3.102949748	3.085920833	3.641260641	2.995523967	3.134783333	3.186729404	3.378745298	3.18383868	3.161267025	3.381248437	2.543006907	2.686701893	3.190101404	2.98892982	3.567444845	3.361364175	3.091871795	3.595036877	3.287560194	3.873729115	3.688100071	3.208222976	3.326206382	3.238225558	2.67214419	3.391232348	3.289318951	3.849370869	3.188110804	3.193878547	3.50232017	3.361835554	2.914697009	2.754920664	3.469247001	3.580877966	3.912095184	2.903530871	3.270624932	3.383587662	4.088797598	3.379495246	3.90957053	3.93601445	3.582730012	3.974388504	2.297573731	3.354747191	3.536729083	3.65201066	2.940315393	3.755431438	3.963503485	4.223825443	2.770821621	3.725015312	3.841863396	2.244466251	3.674824414	3.649681132	2.28417844	3.127657261	3.432741488	3.372300308	3.461677426
63.97464567	3.277960141	2.739677931	3.24815328	3.105945124	3.071613107	3.690342985	3.052631818	3.2082456	3.23846288	3.308079502	3.195891848	3.127006901	3.426885083	2.575914309	2.794945538	3.19457806	3.016470891	3.601173984	3.380262194	3.146481833	3.556387709	3.29954357	3.846161682	3.716928502	3.228212904	3.381092894	3.287813833	2.72582281	3.437428771	3.345500941	3.835217127	3.229639744	3.176858727	3.514721461	3.365399971	2.943865976	2.743529889	3.496149189	3.583978257	3.901558138	2.882290183	3.322002555	3.37516544	4.056999856	3.383811314	3.882408175	3.926418188	3.580712834	3.954014174	2.330208427	3.34071874	3.61352965	3.662216942	2.945085197	3.799444824	4.032742674	4.204263921	2.781579507	3.725248659	3.83689501	2.184605439	3.713208237	3.661356557	2.29516899	3.168602697	3.451241783	3.402635956	3.438177238
64.25181102	3.324703436	2.745123856	3.260577986	3.130619736	3.085660033	3.704939004	3.091199805	3.191102785	3.298123935	3.271915732	3.239133289	3.110453456	3.457569363	2.636824876	2.894422723	3.218312104	3.060319793	3.641803095	3.391790827	3.168100847	3.524599302	3.316038561	3.858814063	3.713127988	3.20062585	3.43350934	3.382639022	2.747838587	3.463820591	3.410170217	3.911083302	3.273748647	3.181288851	3.561137371	3.364898534	2.93849368	2.737544437	3.570851052	3.545131996	3.88916827	2.903650676	3.364254985	3.388868041	4.054504823	3.420514569	3.891656921	3.954985342	3.608334375	3.989279642	2.432480182	3.388205738	3.680542136	3.681113221	2.97466866	3.80737131	4.107671401	4.155053022	2.861060945	3.797539267	3.851789568	2.23974519	3.740847736	3.632905415	2.324296441	3.206525297	3.51607543	3.419672888	3.423862321
64.52897638	3.395410798	2.808463309	3.319765828	3.175660616	3.156578441	3.712117676	3.096333504	3.145844636	3.335007664	3.284858237	3.263130873	3.183140708	3.47823063	2.692686001	2.950523725	3.276482472	3.085117572	3.679709982	3.436927737	3.205885964	3.51941722	3.37222365	3.891973525	3.67265818	3.178532884	3.474465781	3.469153825	2.781313633	3.479967821	3.46963513	3.987129823	3.339719504	3.227502028	3.604966484	3.382981646	2.930633448	2.730244551	3.646552255	3.472931238	3.887268458	2.992297408	3.403609916	3.445278051	4.058202677	3.483278498	3.934847135	3.976172268	3.678319259	4.079971737	2.521173761	3.482492979	3.702101607	3.745061355	3.023785556	3.834856168	4.131822379	4.115081263	2.910009336	3.875191297	3.837431133	2.366458187	3.742426335	3.593402244	2.37683461	3.273040582	3.590085349	3.460178133	3.42815037
64.80614173	3.435911726	2.863380031	3.374463102	3.188723667	3.245232557	3.72210374	3.091125522	3.150574966	3.34538687	3.323049717	3.260395948	3.318152514	3.506064022	2.71634665	2.980876392	3.331434417	3.121719153	3.698814236	3.531519561	3.272378309	3.528243061	3.425432513	3.925529921	3.654838405	3.211383502	3.510078366	3.518281642	2.849351691	3.494248425	3.513535504	4.020482548	3.401535409	3.265453599	3.625740888	3.415022648	2.951342371	2.732979848	3.685336687	3.449206813	3.933085914	3.11012825	3.446466681	3.505879807	4.08303998	3.535420123	3.986613508	3.95722172	3.737867798	4.181314416	2.558054961	3.566498758	3.706217638	3.83763023	3.100707571	3.898813165	4.108134156	4.122492596	2.885161929	3.888565676	3.786982953	2.471615248	3.753581174	3.594836481	2.451925773	3.333165319	3.632318695	3.532509336	3.444437523
